20,Would you prefer to feel cooler or warmer at the moment?,b. No change desired,b. No change desired,b. No change desired,c. Cooler,c. Cooler,c. Cooler,c. Cooler,b. No change desired,c. Cooler,a. Warmer,c. Cooler,b. No change desired,c. Cooler,b. No change desired,b. No change desired,c. Cooler,c. Cooler,,c. Cooler,b. No change desired,c. Cooler,c. Cooler,b. No change desired,c. Cooler,c. Cooler,c. Cooler,c. Cooler,c. Cooler,c. Cooler,c. Cooler,c. Cooler,c. Cooler,a. Warmer,a. Warmer,c. Cooler,a. Warmer,c. Cooler
21,What kind of information would be helpful to have posted inside a cooling shelter?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Do you have any other comments about the TENOPY or the impact of heat and health?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Take note of the participants’ type of clothing (Select what matches closest).,a. Pants/Trousers. short-sleeve shirt,"d. Knee-length skirt/dress, short-sleeves or short-sleeve shirt","b. Pants/Trousers, long-sleeve shirt","b. Pants/Trousers, long-sleeve shirt","b. Pants/Trousers, long-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,"b. Pants/Trousers, long-sleeve shirt","b. Pants/Trousers, long-sleeve shirt","d. Knee-length skirt/dress, short-sleeves or short-sleeve shirt","b. Pants/Trousers, long-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,"e. Shorts, short-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,"e. Shorts, short-sleeve shirt",,a. Pants/Trousers. short-sleeve shirt,"e. Shorts, short-sleeve shirt","c. Ankle length skirt/dress, long-sleeves","d. Knee-length skirt/dress, short-sleeves or short-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,"d. Knee-length skirt/dress, short-sleeves or short-sleeve shirt","e. Shorts, short-sleeve shirt","c. Ankle length skirt/dress, long-sleeves",a. Pants/Trousers. short-sleeve shirt,"d. Knee-length skirt/dress, short-sleeves or short-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,"e. Shorts, short-sleeve shirt",a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt,a. Pants/Trousers. short-sleeve shirt
B,What is the current weather?,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,a. Sunny,,a. Sunny,a. Sunny,a. Sunny,b. Cloudy,a. Sunny,b. Cloudy,b. Cloudy,a. Sunny,a. Sunny,b. Cloudy,b. Cloudy,b. Cloudy,b. Cloudy,b. Cloudy,a. Sunny,b. Cloudy,a. Sunny,b. Cloudy,a. Sunny
C,What is the current temperature (within 5 degrees)?,32,32.2,31,32,31.4,31,31.4,32.4,32.2,33,33,33.4,34,34,35,35,35,,91,89,90,90,89,89,89,90,90,91,91,92,87,92,92,92,92,92,91
D,When in the TENOPY was participant sitting on the bench or standing next to the cooling panels?,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,b. Standing next to cooling panels,b. Standing next to cooling panels,a. Sitting on bench,b. Standing next to cooling panels,a. Sitting on bench,b. Standing next to cooling panels,b. Standing next to cooling panels,b. Standing next to cooling panels,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,b. Standing next to cooling panels,,b. Standing next to cooling panels,a. Sitting on bench,a. Sitting on bench,b. Standing next to cooling panels,a. Sitting on bench,b. Standing next to cooling panels,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,a. Sitting on bench,b. Standing next to cooling panels,a. Sitting on bench,b. Standing next to cooling panels,a. Sitting on bench,b. Standing next to cooling panels,b. Standing next to cooling panels,a. Sitting on bench,a. Sitting on bench,b. Standing next to cooling panels
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.41176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
